test_id,v_id,m,n,r,threshold,norm,cpu_cycles,loop iterations,flops,fw_measured_flops
0,8002,1024,1024,1024,10,0,2.43385E+11,3,0,
0,8004,1024,1024,1024,10,0,1.65728E+11,3,0,
0,16002,1024,1024,1024,10,0,2.27962E+11,3,0,
0,16004,1024,1024,1024,10,0,1.51324E+11,3,0,
0,16008,1024,1024,1024,10,0,1.01698E+11,3,0,
0,32002,1024,1024,1024,10,0,2.30378E+11,3,0,
0,32004,1024,1024,1024,10,0,1.52044E+11,3,0,
0,32008,1024,1024,1024,10,0,95795509298,3,0,
0,32016,1024,1024,1024,10,0,81600290763,3,0,
0,64002,1024,1024,1024,10,0,2.2632E+11,3,0,
0,64004,1024,1024,1024,10,0,1.48716E+11,3,0,
0,64008,1024,1024,1024,10,0,92165056586,3,0,
0,64016,1024,1024,1024,10,0,77617821173,3,0,
0,64032,1024,1024,1024,10,0,82274224492,3,0,
0,128002,1024,1024,1024,10,0,2.332E+11,3,0,
0,128004,1024,1024,1024,10,0,1.46245E+11,3,0,
0,128008,1024,1024,1024,10,0,93119353792,3,0,
0,128016,1024,1024,1024,10,0,82440970247,3,0,
0,128032,1024,1024,1024,10,0,84985067097,3,0,
0,256002,1024,1024,1024,10,0,2.3902E+11,3,0,
0,256004,1024,1024,1024,10,0,1.55515E+11,3,0,
0,256008,1024,1024,1024,10,0,94279484451,3,0,
0,256016,1024,1024,1024,10,0,82441563938,3,0,
0,256032,1024,1024,1024,10,0,87828736895,3,0,
,,,,,,,,,,
,,,,,,min,77617821173,,,
,,,,,,max,2.43385E+11,,,
